Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
10_2001,1,93,10,97,13.4,34.036,SAW,2001,909.8439494674669,6
100_2001,5,599,31,762,5,12.7,POLE,2001,126.67686977437442,2
1000_2001,55,450,10,316,13.1,33.274,SAW,2001,869.560704879216,5
1001_2001,55,451,10,97,12.4,31.496000000000002,SAW,2001,779.1134198603127,6
1002_2001,55,452,10,261,15.6,39.624,SAW,2001,1233.1233211316705,4
1003_2001,56,3,10,318,24.7,62.738,SAW,2001,3091.371659225924,1
1004_2001,56,75,10,261,15.8,40.132000000000005,SAW,2001,1264.9445508189935,4
1005_2001,56,76,10,261,12.6,32.004,SAW,2001,804.4487938151873,4
1006_2001,56,77,10,97,13.9,35.306000000000004,SAW,2001,979.0095203642757,6
1007_2001,56,78,14,261,12.5,31.75,SAW,2001,791.7304360898402,4
1008_2001,56,79,10,318,20.5,52.07,SAW,2001,2129.4381809072343,1
1009_2001,56,80,10,316,15.3,38.862,SAW,2001,1186.1515378193326,5
1010_2001,56,84,10,318,25.1,63.754000000000005,SAW,2001,3192.3077890621457,1
1011_2001,56,88,10,318,16.9,42.925999999999995,SAW,2001,1447.207231050363,1
1012_2001,56,89,10,261,16.2,41.147999999999996,SAW,2001,1329.8031081434729,4
1013_2001,56,98,10,261,18.3,46.482,SAW,2001,1696.9126767496102,4
1014_2001,56,99,10,261,20.7,52.577999999999996,SAW,2001,2171.190877184868,4
1015_2001,56,352,10,316,16.4,41.656,SAW,2001,1362.8404357806298,5
1016_2001,56,406,10,531,5.8,14.732,POLE,2001,170.45639596839823,3
1017_2001,56,585,31,531,7.1,18.034,POLE,2001,255.4312402130486,3
1018_2001,56,586,31,371,5,12.7,POLE,2001,126.67686977437442,2
1019_2001,56,587,30,531,11.4,28.956000000000003,SAW,2001,658.5170398351082,3
102_2001,6,66,10,371,15.5,39.37,SAW,2001,1217.3647185317382,2
1020_2001,56,588,30,261,11.5,29.21,SAW,2001,670.1206411064408,4
1022_2001,57,79,10,531,13,33.02,SAW,2001,856.3356396747714,3
1023_2001,57,80,10,318,25.6,65.024,SAW,2001,3320.7581350133614,1
1024_2001,57,81,10,318,25.6,65.024,SAW,2001,3320.7581350133614,1
1025_2001,57,83,10,531,16.3,41.402,SAW,2001,1346.2711012141417,3
1027_2001,57,87,10,531,13.1,33.274,SAW,2001,869.560704879216,3
1028_2001,57,91,10,318,25.3,64.262,SAW,2001,3243.383902955173,1
103_2001,6,68,10,316,13.8,35.052,SAW,2001,964.9737231932746,5
1031_2001,57,451,10,531,7.2,18.288,POLE,2001,262.67715716414284,3
1032_2001,57,452,10,531,12.6,32.004,SAW,2001,804.4487938151873,3
1033_2001,57,527,31,531,5,12.7,POLE,2001,126.67686977437442,3
1034_2001,57,528,31,531,5.2,13.208,POLE,2001,137.0137023479634,3
1035_2001,57,529,30,531,11.8,29.972,SAW,2001,705.5394938953559,3
1036_2001,58,10,14,762,11.3,28.702,SAW,2001,647.014780059595,2
1037_2001,58,12,10,371,10.2,25.907999999999998,POLE,2001,527.1784612530365,2
1038_2001,58,13,14,371,13.1,33.274,SAW,2001,869.560704879216,2
1039_2001,58,17,10,318,15,38.1,SAW,2001,1140.09182796937,1
104_2001,6,389,10,316,12.3,31.242,SAW,2001,766.5977451266044,5
1040_2001,58,18,10,318,24,60.96,SAW,2001,2918.6350796015868,1
1041_2001,58,22,10,318,27.4,69.596,SAW,2001,3804.157070072374,1
1042_2001,58,24,10,541,18.4,46.736,SAW,2001,1715.508841232488,7
1043_2001,58,227,10,371,16.1,40.894000000000005,SAW,2001,1313.4364565686242,2
1044_2001,58,455,10,318,13.4,34.036,SAW,2001,909.8439494674669,1
1045_2001,58,537,30,531,11.7,29.718,SAW,2001,693.6318681365647,3
1046_2001,58,538,30,531,10.8,27.432000000000002,SAW,2001,591.0236036193214,3
1047_2001,58,539,30,541,12.1,30.733999999999998,SAW,2001,741.8704201466463,7
1048_2001,59,27,10,318,21.2,53.848,SAW,2001,2277.3460940557934,1
1049_2001,59,36,10,318,22.7,57.658,SAW,2001,2611.012969041496,1
105_2001,6,395,10,316,11,27.94,SAW,2001,613.1160497079724,5
1050_2001,59,556,31,999,4.8,12.192,POLE,2001,116.74540318406349,4
1051_2001,59,557,31,375,4.6,11.684,POLE,2001,107.2193025770305,2
1052_2001,59,558,31,371,4.7,11.938,POLE,2001,111.93168213263726,2
1053_2001,60,84,10,318,25.9,65.786,SAW,2001,3399.0444405339244,1
1054_2001,60,93,10,318,27.5,69.85,SAW,2001,3831.975310674826,1
1055_2001,61,67,10,316,15.7,39.878,SAW,2001,1248.9832652274222,5
1056_2001,61,68,10,316,12.9,32.766,SAW,2001,843.2119159661459,5
1057_2001,61,69,10,371,11.5,29.21,SAW,2001,670.1206411064408,2
1058_2001,61,70,14,316,11.2,28.447999999999997,SAW,2001,635.6138617799011,5
1059_2001,61,71,10,316,9.2,23.368,POLE,2001,428.877210308122,5
106_2001,6,423,10,541,7.5,19.05,POLE,2001,285.0229569923425,7
1060_2001,61,74,10,316,8.8,22.352000000000004,POLE,2001,392.39427181310236,5
1061_2001,61,79,10,371,6.7,17.018,POLE,2001,227.46098736686673,2
1062_2001,61,80,10,316,18.3,46.482,SAW,2001,1696.9126767496102,5
1063_2001,61,81,10,316,14.9,37.846000000000004,SAW,2001,1124.941274344355,5
