Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
10_2011,1,99,14,316,11.6,29.464,SAW,2011,681.8255838735929,5
100_2011,5,599,10,762,6.8,17.272,POLE,2011,234.3015383346829,2
1000_2011,53,695,30,318,11.9,30.226000000000003,SAW,2011,717.5484611499667,1
1001_2011,53,696,30,531,10.8,27.432000000000002,SAW,2011,591.0236036193214,3
1002_2011,53,697,30,129,11.2,28.447999999999997,SAW,2011,635.6138617799011,4
1004_2011,54,56,10,318,17,43.18,SAW,2011,1464.3846145917685,1
1005_2011,54,57,10,261,18.2,46.228,SAW,2011,1678.4178537625517,4
1006_2011,54,71,10,261,22.4,56.895999999999994,SAW,2011,2542.4554471196043,4
1007_2011,54,72,10,261,22.4,56.895999999999994,SAW,2011,2542.4554471196043,4
1008_2011,54,73,10,261,20.2,51.308,SAW,2011,2067.56919770943,4
1009_2011,54,353,10,531,9,22.86,POLE,2011,410.4330580689732,3
101_2011,5,655,31,318,6,15.24,POLE,2011,182.41469247509917,1
1010_2011,54,407,10,97,20.9,53.086,SAW,2011,2213.3489394457797,6
1011_2011,54,503,10,531,6,15.24,POLE,2011,182.41469247509917,3
1012_2011,54,504,10,261,13.6,34.544,SAW,2011,937.2061533387316,4
1013_2011,54,505,10,261,12.9,32.766,SAW,2011,843.2119159661459,4
1014_2011,54,687,31,531,5.4,13.716000000000001,POLE,2011,147.75590090483036,3
1015_2011,54,688,31,531,5.9,14.986,POLE,2011,176.38487347383898,3
1016_2011,54,689,31,371,4.9,12.446000000000002,POLE,2011,121.66046573130923,2
1017_2011,54,690,30,261,11,27.94,SAW,2011,613.1160497079724,4
1018_2011,54,691,30,97,13.3,33.782000000000004,SAW,2011,896.314859775564,6
1019_2011,55,22,10,97,21,53.34,SAW,2011,2234.5799828199656,6
102_2011,5,656,30,316,12,30.48,SAW,2011,729.6587699003967,5
1020_2011,55,25,10,371,12.5,31.75,SAW,2011,791.7304360898402,2
1021_2011,55,28,10,261,13.6,34.544,SAW,2011,937.2061533387316,4
1022_2011,55,30,10,261,16.6,42.164,SAW,2011,1396.2831294010648,4
1023_2011,55,31,14,261,11.1,28.194,SAW,2011,624.3142849960269,4
1024_2011,55,32,10,261,7.3,18.541999999999998,POLE,2011,270.0244156110565,4
