Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
10_1970,16,90,0,371,4.6,11.684,POLE,1970,107.2193025770305,2
100_1970,130,81,0,97,4.8,12.192,POLE,1970,116.74540318406349,6
1000_1970,110,50,0,531,10.2,25.907999999999998,POLE,1970,527.1784612530365,3
1001_1970,115,17,0,261,10.2,25.907999999999998,POLE,1970,527.1784612530365,4
1002_1970,126,56,0,318,10.2,25.907999999999998,POLE,1970,527.1784612530365,1
1003_1970,127,29,0,97,10.2,25.907999999999998,POLE,1970,527.1784612530365,6
1004_1970,134,30,0,531,10.2,25.907999999999998,POLE,1970,527.1784612530365,3
1005_1970,136,64,0,318,10.2,25.907999999999998,POLE,1970,527.1784612530365,1
1006_1970,160,4,0,371,10.2,25.907999999999998,POLE,1970,527.1784612530365,2
1007_1970,4,42,0,746,10.3,26.162000000000003,POLE,1970,537.5659645745354,2
1008_1970,4,49,0,531,10.3,26.162000000000003,POLE,1970,537.5659645745354,3
1009_1970,12,9,0,316,10.3,26.162000000000003,POLE,1970,537.5659645745354,5
101_1970,133,23,0,531,4.8,12.192,POLE,1970,116.74540318406349,3
1010_1970,13,91,0,97,10.3,26.162000000000003,POLE,1970,537.5659645745354,6
1011_1970,21,44,0,531,10.3,26.162000000000003,POLE,1970,537.5659645745354,3
1012_1970,34,73,0,316,10.3,26.162000000000003,POLE,1970,537.5659645745354,5
1013_1970,44,58,0,746,10.3,26.162000000000003,POLE,1970,537.5659645745354,2
1014_1970,60,81,0,531,10.3,26.162000000000003,POLE,1970,537.5659645745354,3
1015_1970,88,21,0,531,10.3,26.162000000000003,POLE,1970,537.5659645745354,3
1016_1970,96,77,0,97,10.3,26.162000000000003,POLE,1970,537.5659645745354,6
1017_1970,115,14,0,97,10.3,26.162000000000003,POLE,1970,537.5659645745354,6
1018_1970,137,69,0,371,10.3,26.162000000000003,POLE,1970,537.5659645745354,2
1019_1970,158,31,0,531,10.3,26.162000000000003,POLE,1970,537.5659645745354,3
102_1970,133,25,0,318,4.8,12.192,POLE,1970,116.74540318406349,1
1020_1970,165,52,0,97,10.3,26.162000000000003,POLE,1970,537.5659645745354,6
1021_1970,4,43,0,746,10.4,26.416,POLE,1970,548.0548093918536,2
1022_1970,12,27,0,316,10.4,26.416,POLE,1970,548.0548093918536,5
1023_1970,13,86,0,97,10.4,26.416,POLE,1970,548.0548093918536,6
1024_1970,17,97,0,371,10.4,26.416,POLE,1970,548.0548093918536,2
1025_1970,44,48,0,316,10.4,26.416,POLE,1970,548.0548093918536,5
1026_1970,50,38,0,371,10.4,26.416,POLE,1970,548.0548093918536,2
1027_1970,54,50,0,97,10.4,26.416,POLE,1970,548.0548093918536,6
1028_1970,61,69,0,371,10.4,26.416,POLE,1970,548.0548093918536,2
1029_1970,62,90,0,316,10.4,26.416,POLE,1970,548.0548093918536,5
103_1970,136,60,0,318,4.8,12.192,POLE,1970,116.74540318406349,1
1030_1970,75,45,0,97,10.4,26.416,POLE,1970,548.0548093918536,6
1031_1970,116,34,0,531,10.4,26.416,POLE,1970,548.0548093918536,3
1032_1970,133,20,0,531,10.4,26.416,POLE,1970,548.0548093918536,3
1033_1970,134,49,0,371,10.4,26.416,POLE,1970,548.0548093918536,2
1034_1970,134,50,0,371,10.4,26.416,POLE,1970,548.0548093918536,2
1035_1970,135,4,0,316,10.4,26.416,POLE,1970,548.0548093918536,5
1036_1970,151,58,0,71,10.4,26.416,POLE,1970,548.0548093918536,4
1037_1970,163,78,0,97,10.4,26.416,POLE,1970,548.0548093918536,6
1038_1970,173,91,0,261,10.4,26.416,POLE,1970,548.0548093918536,4
1039_1970,1,93,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
104_1970,146,58,0,12,4.8,12.192,POLE,1970,116.74540318406349,4
1040_1970,2,3,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1041_1970,2,10,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1042_1970,2,18,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1043_1970,2,98,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1044_1970,3,23,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1045_1970,4,41,0,746,10.6,26.924,SAW,1970,569.3365235139484,2
1046_1970,9,24,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1047_1970,10,23,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1048_1970,11,77,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1049_1970,12,17,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1050_1970,15,75,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1051_1970,33,96,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1052_1970,34,82,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1054_1970,34,84,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1055_1970,41,57,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1056_1970,41,69,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1057_1970,47,38,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1058_1970,47,39,0,261,10.6,26.924,SAW,1970,569.3365235139484,4
1059_1970,49,56,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
106_1970,160,11,0,12,4.8,12.192,POLE,1970,116.74540318406349,4
1060_1970,58,16,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1061_1970,60,86,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1062_1970,62,5,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1063_1970,62,98,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1064_1970,64,33,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1065_1970,64,38,0,261,10.6,26.924,SAW,1970,569.3365235139484,4
1066_1970,67,14,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1067_1970,67,20,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1069_1970,69,50,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
107_1970,161,27,0,318,4.8,12.192,POLE,1970,116.74540318406349,1
1070_1970,72,41,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1071_1970,73,17,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1072_1970,77,56,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1073_1970,77,59,0,261,10.6,26.924,SAW,1970,569.3365235139484,4
1074_1970,79,70,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1076_1970,94,18,0,261,10.6,26.924,SAW,1970,569.3365235139484,4
1077_1970,97,50,0,762,10.6,26.924,SAW,1970,569.3365235139484,2
1078_1970,97,55,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1079_1970,98,24,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
108_1970,167,51,0,531,4.8,12.192,POLE,1970,116.74540318406349,3
1080_1970,99,2,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1081_1970,106,2,0,541,10.6,26.924,SAW,1970,569.3365235139484,7
1082_1970,107,35,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1083_1970,109,44,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1084_1970,123,7,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1085_1970,125,94,0,12,10.6,26.924,SAW,1970,569.3365235139484,4
1086_1970,129,89,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1087_1970,129,90,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1088_1970,130,89,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1089_1970,134,66,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
109_1970,1,79,0,316,4.9,12.446000000000002,POLE,1970,121.66046573130923,5
1090_1970,135,12,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1091_1970,136,79,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1092_1970,139,4,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
1093_1970,140,65,0,531,10.6,26.924,SAW,1970,569.3365235139484,3
1094_1970,145,81,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1095_1970,149,97,0,318,10.6,26.924,SAW,1970,569.3365235139484,1
1096_1970,151,98,0,129,10.6,26.924,SAW,1970,569.3365235139484,4
1097_1970,159,23,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1098_1970,159,28,0,97,10.6,26.924,SAW,1970,569.3365235139484,6
1099_1970,160,21,0,316,10.6,26.924,SAW,1970,569.3365235139484,5
11_1970,16,91,0,371,4.6,11.684,POLE,1970,107.2193025770305,2
1100_1970,160,29,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1101_1970,161,32,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1102_1970,161,38,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
1103_1970,161,39,0,371,10.6,26.924,SAW,1970,569.3365235139484,2
