Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
10_1991,1,90,10,746,14.9,37.846000000000004,SAW,1991,1124.941274344355,2
100_1991,5,422,31,762,5.5,13.97,POLE,1991,153.2790124269931,2
1000_1991,61,67,10,316,15,38.1,SAW,1991,1140.09182796937,5
1001_1991,61,68,10,316,12,30.48,SAW,1991,729.6587699003967,5
1002_1991,61,69,10,371,11.1,28.194,SAW,1991,624.3142849960269,2
1003_1991,61,70,10,316,10.5,26.67,POLE,1991,558.6449957049914,5
1004_1991,61,71,10,316,8.8,22.352000000000004,POLE,1991,392.39427181310236,5
1007_1991,61,74,10,316,8,20.32,POLE,1991,324.2927866223985,5
101_1991,6,11,10,316,9.5,24.13,POLE,1991,457.3034998854917,5
1011_1991,61,79,10,371,6.2,15.748000000000001,POLE,1991,194.77835496507817,2
1012_1991,61,80,10,316,17.5,44.45,SAW,1991,1551.791654736087,5
1013_1991,61,81,10,316,14.4,36.576,SAW,1991,1050.7086286565714,5
1014_1991,61,82,10,316,12.1,30.733999999999998,SAW,1991,741.8704201466463,5
1015_1991,61,83,10,316,14.7,37.338,SAW,1991,1094.944191581783,5
1016_1991,61,84,10,746,14.2,36.068,SAW,1991,1021.7249608521944,2
1019_1991,61,97,10,316,16.8,42.672000000000004,SAW,1991,1430.131189004778,5
102_1991,6,66,10,371,13.9,35.306000000000004,SAW,1991,979.0095203642757,2
1020_1991,61,221,10,371,12.7,32.257999999999996,SAW,1991,817.2684930363539,2
1021_1991,61,223,10,316,14,35.56,SAW,1991,993.1466590310957,5
1022_1991,61,224,10,316,13.4,34.036,SAW,1991,909.8439494674669,5
1023_1991,61,284,10,316,13.8,35.052,SAW,1991,964.9737231932746,5
1024_1991,61,338,10,316,12.3,31.242,SAW,1991,766.5977451266044,5
1025_1991,61,478,31,316,4.7,11.938,POLE,1991,111.93168213263726,5
1026_1991,61,479,30,316,10.8,27.432000000000002,SAW,1991,591.0236036193214,5
1027_1991,61,481,30,316,10.9,27.686,SAW,1991,602.0191559157371,5
1028_1991,61,482,30,316,10.8,27.432000000000002,SAW,1991,591.0236036193214,5
1029_1991,61,483,30,316,11.6,29.464,SAW,1991,681.8255838735929,5
103_1991,6,68,10,316,13.4,34.036,SAW,1991,909.8439494674669,5
1030_1991,61,484,30,316,11.5,29.21,SAW,1991,670.1206411064408,5
1031_1991,61,486,30,316,11.6,29.464,SAW,1991,681.8255838735929,5
1032_1991,61,487,30,371,10.8,27.432000000000002,SAW,1991,591.0236036193214,2
1033_1991,62,1,10,261,14.2,36.068,SAW,1991,1021.7249608521944,4
1035_1991,62,5,10,316,11.5,29.21,SAW,1991,670.1206411064408,5
1038_1991,62,8,10,531,14.7,37.338,SAW,1991,1094.944191581783,3
1039_1991,62,9,10,531,7.9,20.066000000000003,POLE,1991,316.2361377047484,3
1040_1991,62,10,10,531,8.4,21.336000000000002,POLE,1991,357.5327972511945,3
1041_1991,62,86,10,316,9.7,24.637999999999998,POLE,1991,476.76106708283555,5
1043_1991,62,88,10,531,8,20.32,POLE,1991,324.2927866223985,3
1044_1991,62,90,10,316,11.5,29.21,SAW,1991,670.1206411064408,5
1046_1991,62,92,10,316,11.8,29.972,SAW,1991,705.5394938953559,5
1047_1991,62,93,10,316,11.1,28.194,SAW,1991,624.3142849960269,5
1048_1991,62,94,10,316,14,35.56,SAW,1991,993.1466590310957,5
1049_1991,62,95,10,316,10.6,26.924,SAW,1991,569.3365235139484,5
1050_1991,62,98,10,316,14,35.56,SAW,1991,993.1466590310957,5
1051_1991,62,99,10,318,29.8,75.69200000000001,SAW,1991,4499.76509737742,1
1052_1991,62,220,10,316,14,35.56,SAW,1991,993.1466590310957,5
1053_1991,62,287,10,316,12.2,30.988,SAW,1991,754.1834118887156,5
1054_1991,62,332,10,316,12.3,31.242,SAW,1991,766.5977451266044,5
1055_1991,62,334,10,531,12.5,31.75,SAW,1991,791.7304360898402,3
1056_1991,62,469,30,531,12.1,30.733999999999998,SAW,1991,741.8704201466463,3
1057_1991,62,470,30,316,11.4,28.956000000000003,SAW,1991,658.5170398351082,5
1058_1991,62,471,30,316,12,30.48,SAW,1991,729.6587699003967,5
1059_1991,62,472,30,316,11.2,28.447999999999997,SAW,1991,635.6138617799011,5
1060_1991,62,473,30,316,11.3,28.702,SAW,1991,647.014780059595,5
1061_1991,62,474,30,316,10.7,27.177999999999997,SAW,1991,580.129392818725,5
1062_1991,62,475,30,316,11.7,29.718,SAW,1991,693.6318681365647,5
1063_1991,62,476,30,316,11.6,29.464,SAW,1991,681.8255838735929,5
1064_1991,64,35,10,97,12.7,32.257999999999996,SAW,1991,817.2684930363539,6
1065_1991,64,37,10,318,27,68.58,SAW,1991,3693.897522620758,1
1066_1991,64,38,10,261,16.5,41.910000000000004,SAW,1991,1379.511111842938,4
1067_1991,64,90,14,531,11.8,29.972,SAW,1991,705.5394938953559,3
1068_1991,64,95,14,531,11.4,28.956000000000003,SAW,1991,658.5170398351082,3
1069_1991,64,100,10,97,12.9,32.766,SAW,1991,843.2119159661459,6
1070_1991,64,399,10,371,14.3,36.322,SAW,1991,1036.1661240064732,2
