Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
1581_2021,82,435,10,999,7.8,19.812,POLE,2021,308.28083028291763,4
1583_2021,82,642,10,531,6,15.24,POLE,2021,182.41469247509917,3
1584_2021,82,53,10,261,19.4,49.275999999999996,SAW,2021,1907.0442683313422,4
1585_2021,82,55,10,371,26.8,68.072,SAW,2021,3639.3757978698677,2
1586_2021,82,734,30,531,10.8,27.432000000000002,SAW,2021,591.0236036193214,3
1587_2021,82,62,10,97,22.1,56.13400000000001,SAW,2021,2474.809998660089,6
1588_2021,82,440,10,97,14.5,36.83,SAW,2021,1065.3524748024888,6
1590_2021,82,66,10,261,24.8,62.992000000000004,SAW,2021,3116.4536794412506,4
1591_2021,82,441,10,261,16.4,41.656,SAW,2021,1362.8404357806298,4
1592_2021,82,643,10,97,13.6,34.544,SAW,2021,937.2061533387316,6
1594_2021,82,442,10,531,14.6,37.083999999999996,SAW,2021,1080.097662444226,3
1598_2021,83,729,38,531,7.3,18.541999999999998,POLE,2021,270.0244156110565,3
16_2021,1,495,10,762,13,33.02,SAW,2021,856.3356396747714,2
160_2021,9,585,10,531,8.9,22.606,POLE,2021,401.36299419312803,3
1601_2021,83,730,31,531,5.7,14.478000000000002,POLE,2021,164.62925995877706,3
1603_2021,83,52,10,371,14.7,37.338,SAW,2021,1094.944191581783,2
1604_2021,83,51,10,318,17.5,44.45,SAW,2021,1551.791654736087,1
1605_2021,83,53,10,318,17.1,43.434000000000005,SAW,2021,1481.6633396289935,1
1606_2021,83,552,10,261,9.5,24.13,POLE,2021,457.3034998854917,4
1608_2021,83,54,10,318,18.9,48.006,SAW,2021,1810.0097860841715,1
1609_2021,83,55,10,261,23.3,59.182,SAW,2021,2750.8642332724057,4
161_2021,9,769,30,762,10.7,27.177999999999997,SAW,2021,580.129392818725,2
1610_2021,83,357,10,531,14.6,37.083999999999996,SAW,2021,1080.097662444226,3
1611_2021,83,256,10,318,17,43.18,SAW,2021,1464.3846145917685,1
1612_2021,83,731,30,261,11,27.94,SAW,2021,613.1160497079724,4
1613_2021,83,553,10,261,16.3,41.402,SAW,2021,1346.2711012141417,4
1616_2021,83,63,10,762,27.8,70.61200000000001,SAW,2021,3916.0380814571026,2
1617_2021,83,64,10,318,22,55.88,SAW,2021,2452.4641988318895,1
1618_2021,83,65,10,318,22.5,57.15,SAW,2021,2565.2066129310824,1
1619_2021,84,557,10,531,10.5,26.67,POLE,2021,558.6449957049914,3
162_2021,9,586,10,316,15.2,38.608,SAW,2021,1170.6969597068585,5
1621_2021,84,440,10,531,8.4,21.336000000000002,POLE,2021,357.5327972511945,3
1622_2021,84,45,10,318,23.8,60.452000000000005,SAW,2021,2870.1938445998667,1
1623_2021,84,47,14,531,10.6,26.924,SAW,2021,569.3365235139484,3
1624_2021,84,441,10,531,8.5,21.59,POLE,2021,366.0961536479421,3
1625_2021,84,48,10,318,8.9,22.606,POLE,2021,401.36299419312803,1
1626_2021,84,50,10,531,16.8,42.672000000000004,SAW,2021,1430.131189004778,3
1628_2021,84,56,10,318,18,45.72,SAW,2021,1641.7322322758928,1
1629_2021,84,728,30,531,10.7,27.177999999999997,SAW,2021,580.129392818725,3
163_2021,9,587,10,316,13.9,35.306000000000004,SAW,2021,979.0095203642757,5
1630_2021,84,61,10,318,25.5,64.77,SAW,2021,3294.865382831478,1
1631_2021,84,463,10,531,15.5,39.37,SAW,2021,1217.3647185317382,3
1632_2021,84,64,10,371,22.7,57.658,SAW,2021,2611.012969041496,2
1633_2021,84,69,10,318,20.2,51.308,SAW,2021,2067.56919770943,1
1634_2021,85,69,10,531,10.2,25.907999999999998,POLE,2021,527.1784612530365,3
1635_2021,85,438,10,531,12.2,30.988,SAW,2021,754.1834118887156,3
1636_2021,85,591,10,318,6.1,15.494,POLE,2021,188.5458529721789,1
1637_2021,85,253,14,531,11,27.94,SAW,2021,613.1160497079724,3
1638_2021,85,439,10,531,7,17.78,POLE,2021,248.28666475777393,3
1640_2021,85,76,10,318,24.8,62.992000000000004,SAW,2021,3116.4536794412506,1
1642_2021,85,80,10,371,17.2,43.687999999999995,SAW,2021,1499.043406162037,2
1643_2021,85,709,30,318,11.6,29.464,SAW,2021,681.8255838735929,1
1644_2021,85,432,10,318,13.8,35.052,SAW,2021,964.9737231932746,1
1645_2021,85,433,10,318,13.1,33.274,SAW,2021,869.560704879216,1
1646_2021,85,435,10,318,16.3,41.402,SAW,2021,1346.2711012141417,1
1647_2021,85,710,30,371,11.4,28.956000000000003,SAW,2021,658.5170398351082,2
1648_2021,85,436,10,531,13.9,35.306000000000004,SAW,2021,979.0095203642757,3
1649_2021,86,639,10,531,6.4,16.256,POLE,2021,207.5473834383351,3
