"resultados_df.PloKg_Ha","resultados_df.mg_ha","total_mean_mg_ha","total_sd_mgha","CV"
144874.085157417,72.4370425787083,71.24,1.32,1.86
145317.391052177,72.6586955260883,71.24,1.32,1.86
142431.151605499,71.2155758027497,71.24,1.32,1.86
144829.654851203,72.4148274256017,71.24,1.32,1.86
137754.913516482,68.8774567582408,71.24,1.32,1.86
146436.984294723,73.2184921473616,71.24,1.32,1.86
140615.326031111,70.3076630155555,71.24,1.32,1.86
145064.59103884,72.53229551942,71.24,1.32,1.86
144858.407718156,72.4292038590782,71.24,1.32,1.86
144428.140112612,72.2140700563058,71.24,1.32,1.86
139345.716673047,69.6728583365236,71.24,1.32,1.86
141661.143806979,70.8305719034894,71.24,1.32,1.86
141888.177057547,70.9440885287735,71.24,1.32,1.86
141376.872240587,70.6884361202933,71.24,1.32,1.86
144519.281332923,72.2596406664616,71.24,1.32,1.86
143703.8365696,71.8519182848001,71.24,1.32,1.86
145510.498755501,72.7552493777506,71.24,1.32,1.86
144919.332054792,72.459666027396,71.24,1.32,1.86
148633.745549014,74.3168727745071,71.24,1.32,1.86
143567.584254872,71.7837921274361,71.24,1.32,1.86
144101.839465638,72.0509197328189,71.24,1.32,1.86
141511.003134409,70.7555015672045,71.24,1.32,1.86
144474.076451456,72.237038225728,71.24,1.32,1.86
142986.316391674,71.4931581958372,71.24,1.32,1.86
137886.066258819,68.9430331294093,71.24,1.32,1.86
140536.767232009,70.2683836160047,71.24,1.32,1.86
136929.610272567,68.4648051362833,71.24,1.32,1.86
139863.219578477,69.9316097892386,71.24,1.32,1.86
145632.979223312,72.816489611656,71.24,1.32,1.86
141079.985473128,70.5399927365639,71.24,1.32,1.86
144584.077645081,72.2920388225404,71.24,1.32,1.86
138179.382612999,69.0896913064994,71.24,1.32,1.86
140938.172614135,70.4690863070673,71.24,1.32,1.86
143891.030836334,71.9455154181671,71.24,1.32,1.86
141729.548597883,70.8647742989414,71.24,1.32,1.86
144933.687249415,72.4668436247074,71.24,1.32,1.86
148989.532035736,74.4947660178679,71.24,1.32,1.86
139190.951449684,69.5954757248422,71.24,1.32,1.86
142048.302432632,71.0241512163158,71.24,1.32,1.86
146842.676984862,73.421338492431,71.24,1.32,1.86
144446.00894929,72.2230044746451,71.24,1.32,1.86
143725.106341952,71.8625531709762,71.24,1.32,1.86
141604.36780553,70.8021839027648,71.24,1.32,1.86
142672.623147911,71.3363115739554,71.24,1.32,1.86
140017.762716136,70.0088813580682,71.24,1.32,1.86
142034.229631181,71.0171148155906,71.24,1.32,1.86
141580.892092588,70.7904460462941,71.24,1.32,1.86
145451.586980851,72.7257934904254,71.24,1.32,1.86
143944.194988734,71.9720974943671,71.24,1.32,1.86
140582.401857429,70.2912009287147,71.24,1.32,1.86
144440.880061292,72.2204400306458,71.24,1.32,1.86
141976.347154708,70.988173577354,71.24,1.32,1.86
138565.985424878,69.2829927124389,71.24,1.32,1.86
142333.66232256,71.1668311612799,71.24,1.32,1.86
143724.117479638,71.8620587398188,71.24,1.32,1.86
139376.383023872,69.6881915119358,71.24,1.32,1.86
144092.704189891,72.0463520949452,71.24,1.32,1.86
142416.173783271,71.2080868916354,71.24,1.32,1.86
139532.364163264,69.7661820816322,71.24,1.32,1.86
143105.823847347,71.5529119236737,71.24,1.32,1.86
142058.352818539,71.0291764092695,71.24,1.32,1.86
141644.595334623,70.8222976673116,71.24,1.32,1.86
140433.232044724,70.2166160223622,71.24,1.32,1.86
147023.983628167,73.5119918140834,71.24,1.32,1.86
141650.897039325,70.8254485196627,71.24,1.32,1.86
138814.482479588,69.4072412397938,71.24,1.32,1.86
146305.303902981,73.1526519514905,71.24,1.32,1.86
144612.079034954,72.306039517477,71.24,1.32,1.86
143308.829058403,71.6544145292016,71.24,1.32,1.86
143039.97185705,71.5199859285248,71.24,1.32,1.86
143938.665657967,71.9693328289836,71.24,1.32,1.86
143988.70180005,71.994350900025,71.24,1.32,1.86
150086.74032135,75.0433701606749,71.24,1.32,1.86
140642.896101962,70.3214480509808,71.24,1.32,1.86
138962.263112064,69.481131556032,71.24,1.32,1.86
143296.317521226,71.648158760613,71.24,1.32,1.86
142987.135962023,71.4935679810116,71.24,1.32,1.86
141621.834314136,70.8109171570679,71.24,1.32,1.86
142643.802448007,71.3219012240036,71.24,1.32,1.86
141048.836855212,70.5244184276059,71.24,1.32,1.86
143133.804457791,71.5669022288953,71.24,1.32,1.86
144221.325889801,72.1106629449003,71.24,1.32,1.86
143469.363439267,71.7346817196335,71.24,1.32,1.86
141441.92591143,70.7209629557148,71.24,1.32,1.86
142287.295469259,71.1436477346293,71.24,1.32,1.86
143862.561613735,71.9312808068674,71.24,1.32,1.86
148309.854319019,74.1549271595094,71.24,1.32,1.86
142632.787735992,71.3163938679961,71.24,1.32,1.86
140824.706026998,70.412353013499,71.24,1.32,1.86
140574.972670621,70.2874863353107,71.24,1.32,1.86
143690.272104136,71.8451360520678,71.24,1.32,1.86
145217.225156938,72.608612578469,71.24,1.32,1.86
141013.171719498,70.5065858597489,71.24,1.32,1.86
143566.163660711,71.7830818303557,71.24,1.32,1.86
140187.433930344,70.0937169651718,71.24,1.32,1.86
139163.702808981,69.5818514044907,71.24,1.32,1.86
143329.085224519,71.6645426122593,71.24,1.32,1.86
144587.184108682,72.293592054341,71.24,1.32,1.86
145134.712407458,72.567356203729,71.24,1.32,1.86
147300.945782178,73.650472891089,71.24,1.32,1.86
144438.483719813,72.2192418599063,71.24,1.32,1.86
142006.549052178,71.0032745260891,71.24,1.32,1.86
141449.741611278,70.724870805639,71.24,1.32,1.86
141025.016156499,70.5125080782494,71.24,1.32,1.86
138442.044922339,69.2210224611697,71.24,1.32,1.86
140567.263802319,70.2836319011597,71.24,1.32,1.86
143853.264046283,71.9266320231414,71.24,1.32,1.86
141972.149623753,70.9860748118765,71.24,1.32,1.86
143653.504976566,71.8267524882832,71.24,1.32,1.86
144262.282637509,72.1311413187544,71.24,1.32,1.86
143687.258917067,71.8436294585335,71.24,1.32,1.86
140115.852261725,70.0579261308624,71.24,1.32,1.86
144228.140715735,72.1140703578676,71.24,1.32,1.86
141437.23447492,70.7186172374601,71.24,1.32,1.86
146925.235671892,73.4626178359459,71.24,1.32,1.86
141978.593049717,70.9892965248586,71.24,1.32,1.86
145224.5257267,72.61226286335,71.24,1.32,1.86
143999.399021607,71.9996995108033,71.24,1.32,1.86
141886.495336826,70.9432476684132,71.24,1.32,1.86
144944.747563327,72.4723737816637,71.24,1.32,1.86
145692.218790242,72.8461093951212,71.24,1.32,1.86
143216.446545775,71.6082232728873,71.24,1.32,1.86
142025.301066259,71.0126505331296,71.24,1.32,1.86
142159.047763246,71.079523881623,71.24,1.32,1.86
141101.017288118,70.5505086440592,71.24,1.32,1.86
141438.894806673,70.7194474033366,71.24,1.32,1.86
138701.012685158,69.3505063425792,71.24,1.32,1.86
141811.339238,70.9056696190001,71.24,1.32,1.86
145420.056639913,72.7100283199567,71.24,1.32,1.86
143408.507387307,71.7042536936535,71.24,1.32,1.86
141475.278163279,70.7376390816397,71.24,1.32,1.86
142090.602238731,71.0453011193656,71.24,1.32,1.86
139078.956342207,69.5394781711037,71.24,1.32,1.86
139733.714371271,69.8668571856354,71.24,1.32,1.86
144960.340377216,72.4801701886082,71.24,1.32,1.86
142456.368310542,71.2281841552709,71.24,1.32,1.86
147362.657665294,73.6813288326469,71.24,1.32,1.86
139598.10991128,69.7990549556399,71.24,1.32,1.86
142753.857866203,71.3769289331014,71.24,1.32,1.86
141689.493159463,70.8447465797313,71.24,1.32,1.86
142962.026238967,71.4810131194833,71.24,1.32,1.86
144103.717551023,72.0518587755116,71.24,1.32,1.86
140436.449616007,70.2182248080036,71.24,1.32,1.86
141340.682037595,70.6703410187975,71.24,1.32,1.86
146151.47518435,73.0757375921751,71.24,1.32,1.86
137584.903629846,68.7924518149229,71.24,1.32,1.86
140188.684172431,70.0943420862154,71.24,1.32,1.86
146853.31767106,73.4266588355299,71.24,1.32,1.86
138642.10337262,69.3210516863098,71.24,1.32,1.86
137438.814073696,68.7194070368478,71.24,1.32,1.86
144255.467202835,72.1277336014174,71.24,1.32,1.86
144314.145239843,72.1570726199215,71.24,1.32,1.86
137990.883882084,68.995441941042,71.24,1.32,1.86
143403.941630962,71.701970815481,71.24,1.32,1.86
142703.699366254,71.3518496831268,71.24,1.32,1.86
139421.989662867,69.7109948314334,71.24,1.32,1.86
143478.089489645,71.7390447448223,71.24,1.32,1.86
139768.713921682,69.8843569608408,71.24,1.32,1.86
141688.73208987,70.8443660449348,71.24,1.32,1.86
142112.589679278,71.0562948396392,71.24,1.32,1.86
142614.101300932,71.3070506504658,71.24,1.32,1.86
146202.852717307,73.1014263586533,71.24,1.32,1.86
142455.653616877,71.2278268084387,71.24,1.32,1.86
144020.539252672,72.0102696263361,71.24,1.32,1.86
142459.617183058,71.229808591529,71.24,1.32,1.86
142029.910440226,71.0149552201132,71.24,1.32,1.86
144635.397446577,72.3176987232887,71.24,1.32,1.86
141570.352005736,70.7851760028682,71.24,1.32,1.86
145243.20250652,72.6216012532603,71.24,1.32,1.86
142208.733506122,71.104366753061,71.24,1.32,1.86
145450.576696114,72.725288348057,71.24,1.32,1.86
145189.556281268,72.5947781406341,71.24,1.32,1.86
138823.017378665,69.4115086893327,71.24,1.32,1.86
140073.480876739,70.0367404383694,71.24,1.32,1.86
144599.901766421,72.2999508832104,71.24,1.32,1.86
142337.907501876,71.1689537509381,71.24,1.32,1.86
140219.65462346,70.1098273117299,71.24,1.32,1.86
139235.473513237,69.6177367566185,71.24,1.32,1.86
142538.84217029,71.2694210851448,71.24,1.32,1.86
141555.973168189,70.7779865840944,71.24,1.32,1.86
143076.048251979,71.5380241259897,71.24,1.32,1.86
144224.322886321,72.1121614431606,71.24,1.32,1.86
143735.166335934,71.8675831679672,71.24,1.32,1.86
145312.21646015,72.6561082300751,71.24,1.32,1.86
143097.364780024,71.5486823900121,71.24,1.32,1.86
144699.627549004,72.3498137745022,71.24,1.32,1.86
141900.255717197,70.9501278585983,71.24,1.32,1.86
142167.220133875,71.0836100669377,71.24,1.32,1.86
141265.28026748,70.6326401337398,71.24,1.32,1.86
143997.330564722,71.9986652823612,71.24,1.32,1.86
144450.93512877,72.2254675643852,71.24,1.32,1.86
136695.327189679,68.3476635948397,71.24,1.32,1.86
143183.60034376,71.5918001718802,71.24,1.32,1.86
143650.239161542,71.8251195807709,71.24,1.32,1.86
142536.553819658,71.2682769098291,71.24,1.32,1.86
143113.499496848,71.556749748424,71.24,1.32,1.86
146367.132378455,73.1835661892275,71.24,1.32,1.86
140325.157017028,70.1625785085138,71.24,1.32,1.86
140822.437540276,70.4112187701378,71.24,1.32,1.86
143806.407281468,71.903203640734,71.24,1.32,1.86
145261.299126902,72.6306495634512,71.24,1.32,1.86
146463.594208634,73.2317971043172,71.24,1.32,1.86
134811.303254509,67.4056516272546,71.24,1.32,1.86
143164.99491674,71.58249745837,71.24,1.32,1.86
142469.710828913,71.2348554144563,71.24,1.32,1.86
142643.763848562,71.3218819242809,71.24,1.32,1.86
148221.953885392,74.1109769426959,71.24,1.32,1.86
140242.935254537,70.1214676272684,71.24,1.32,1.86
144654.317524998,72.3271587624989,71.24,1.32,1.86
143638.191837679,71.8190959188395,71.24,1.32,1.86
140171.602493901,70.0858012469503,71.24,1.32,1.86
144580.343848228,72.2901719241141,71.24,1.32,1.86
147979.249426676,73.9896247133382,71.24,1.32,1.86
142811.559367232,71.4057796836162,71.24,1.32,1.86
138475.52117617,69.2377605880851,71.24,1.32,1.86
144046.451219108,72.0232256095541,71.24,1.32,1.86
142294.481600568,71.147240800284,71.24,1.32,1.86
143397.271574987,71.6986357874933,71.24,1.32,1.86
140469.61985667,70.2348099283351,71.24,1.32,1.86
142370.624449333,71.1853122246664,71.24,1.32,1.86
145294.14771026,72.6470738551302,71.24,1.32,1.86
140075.547772591,70.0377738862956,71.24,1.32,1.86
141367.947422684,70.6839737113418,71.24,1.32,1.86
141855.627394985,70.9278136974924,71.24,1.32,1.86
144035.873065245,72.0179365326223,71.24,1.32,1.86
140285.921324185,70.1429606620924,71.24,1.32,1.86
145900.917087051,72.9504585435253,71.24,1.32,1.86
143450.304417254,71.7251522086268,71.24,1.32,1.86
142942.621441294,71.4713107206473,71.24,1.32,1.86
146647.442245554,73.3237211227772,71.24,1.32,1.86
144328.745105494,72.1643725527468,71.24,1.32,1.86
140517.16818376,70.2585840918799,71.24,1.32,1.86
142787.879521658,71.3939397608291,71.24,1.32,1.86
142551.832860913,71.2759164304565,71.24,1.32,1.86
141089.923865075,70.5449619325374,71.24,1.32,1.86
141859.549085848,70.929774542924,71.24,1.32,1.86
142945.426960743,71.4727134803715,71.24,1.32,1.86
145379.713635209,72.6898568176045,71.24,1.32,1.86
146700.520113365,73.3502600566827,71.24,1.32,1.86
141885.145067991,70.9425725339957,71.24,1.32,1.86
145683.445820422,72.8417229102111,71.24,1.32,1.86
141822.422585503,70.9112112927516,71.24,1.32,1.86
138685.902304319,69.3429511521595,71.24,1.32,1.86
143387.488147038,71.6937440735192,71.24,1.32,1.86
135963.435107087,67.9817175535433,71.24,1.32,1.86
146705.991098472,73.3529955492358,71.24,1.32,1.86
144161.220517048,72.0806102585239,71.24,1.32,1.86
143091.258864409,71.5456294322047,71.24,1.32,1.86
139939.321118939,69.9696605594697,71.24,1.32,1.86
140567.439131181,70.2837195655907,71.24,1.32,1.86
135771.286473404,67.8856432367022,71.24,1.32,1.86
145178.153647425,72.5890768237124,71.24,1.32,1.86
147234.796730225,73.6173983651125,71.24,1.32,1.86
142416.334623373,71.2081673116863,71.24,1.32,1.86
144591.388238393,72.2956941191965,71.24,1.32,1.86
144914.686684236,72.4573433421182,71.24,1.32,1.86
139341.182055295,69.6705910276475,71.24,1.32,1.86
137726.872959059,68.8634364795294,71.24,1.32,1.86
142610.517273513,71.3052586367567,71.24,1.32,1.86
143706.050043453,71.8530250217267,71.24,1.32,1.86
143209.929629879,71.6049648149395,71.24,1.32,1.86
138694.159461106,69.3470797305532,71.24,1.32,1.86
140487.075122975,70.2435375614877,71.24,1.32,1.86
144195.301618765,72.0976508093825,71.24,1.32,1.86
138134.924631638,69.0674623158188,71.24,1.32,1.86
144117.232171742,72.0586160858711,71.24,1.32,1.86
145619.964986192,72.8099824930958,71.24,1.32,1.86
143330.522496477,71.6652612482386,71.24,1.32,1.86
147461.41522548,73.7307076127398,71.24,1.32,1.86
142978.127493661,71.4890637468304,71.24,1.32,1.86
146906.006161264,73.453003080632,71.24,1.32,1.86
139601.245120353,69.8006225601763,71.24,1.32,1.86
144537.367985766,72.2686839928829,71.24,1.32,1.86
141932.172571891,70.9660862859454,71.24,1.32,1.86
140304.291501355,70.1521457506774,71.24,1.32,1.86
144462.629432062,72.2313147160308,71.24,1.32,1.86
139579.370519938,69.7896852599687,71.24,1.32,1.86
145453.524108414,72.7267620542071,71.24,1.32,1.86
142843.811971069,71.4219059855345,71.24,1.32,1.86
145921.556464921,72.9607782324605,71.24,1.32,1.86
142534.506995167,71.2672534975836,71.24,1.32,1.86
142295.848503875,71.1479242519377,71.24,1.32,1.86
146911.68774153,73.4558438707649,71.24,1.32,1.86
142699.611847216,71.3498059236082,71.24,1.32,1.86
146172.099481379,73.0860497406896,71.24,1.32,1.86
143347.710832484,71.6738554162419,71.24,1.32,1.86
140994.310394472,70.4971551972359,71.24,1.32,1.86
142944.089527434,71.4720447637172,71.24,1.32,1.86
135335.083112435,67.6675415562175,71.24,1.32,1.86
139791.559401729,69.8957797008647,71.24,1.32,1.86
141177.042929536,70.588521464768,71.24,1.32,1.86
138748.403071164,69.3742015355821,71.24,1.32,1.86
142340.315058892,71.1701575294458,71.24,1.32,1.86
140210.372457671,70.1051862288354,71.24,1.32,1.86
138644.175868998,69.3220879344992,71.24,1.32,1.86
143045.653796641,71.5228268983204,71.24,1.32,1.86
145407.128636299,72.7035643181496,71.24,1.32,1.86
142616.51160813,71.308255804065,71.24,1.32,1.86
135093.227130524,67.5466135652619,71.24,1.32,1.86
144626.825263478,72.3134126317392,71.24,1.32,1.86
146571.571404152,73.2857857020762,71.24,1.32,1.86
143404.493499117,71.7022467495587,71.24,1.32,1.86
141368.537179278,70.6842685896391,71.24,1.32,1.86
144032.363109967,72.0161815549835,71.24,1.32,1.86
142086.137932725,71.0430689663625,71.24,1.32,1.86
146308.111016781,73.1540555083904,71.24,1.32,1.86
141691.127484549,70.8455637422743,71.24,1.32,1.86
140392.322123732,70.196161061866,71.24,1.32,1.86
140335.835851225,70.1679179256124,71.24,1.32,1.86
141347.414463132,70.6737072315662,71.24,1.32,1.86
144918.215780753,72.4591078903766,71.24,1.32,1.86
139162.915384189,69.5814576920946,71.24,1.32,1.86
142398.925037802,71.1994625189009,71.24,1.32,1.86
142205.21179622,71.1026058981098,71.24,1.32,1.86
141898.422877323,70.9492114386616,71.24,1.32,1.86
142597.114934066,71.2985574670329,71.24,1.32,1.86
141197.575741028,70.5987878705139,71.24,1.32,1.86
141022.860478633,70.5114302393165,71.24,1.32,1.86
136302.085021088,68.1510425105439,71.24,1.32,1.86
143318.285338688,71.6591426693442,71.24,1.32,1.86
138126.389287412,69.0631946437058,71.24,1.32,1.86
143592.368222217,71.7961841111086,71.24,1.32,1.86
141597.500197647,70.7987500988237,71.24,1.32,1.86
141166.453425847,70.5832267129233,71.24,1.32,1.86
141787.281975391,70.8936409876955,71.24,1.32,1.86
143901.804611298,71.9509023056492,71.24,1.32,1.86
139527.278627984,69.7636393139918,71.24,1.32,1.86
142431.494812518,71.2157474062591,71.24,1.32,1.86
146398.891072781,73.1994455363904,71.24,1.32,1.86
141736.212403396,70.8681062016982,71.24,1.32,1.86
145047.179549507,72.5235897747533,71.24,1.32,1.86
