"resultados_df.PloKg_Ha","resultados_df.mg_ha","total_mean_mg_ha","total_sd_mgha","CV"
191884.87097792,95.9424354889598,94,2.09,2.22
194180.214964996,97.090107482498,94,2.09,2.22
193638.608122819,96.8193040614095,94,2.09,2.22
194919.900972916,97.4599504864578,94,2.09,2.22
185756.173006006,92.8780865030032,94,2.09,2.22
188400.073890774,94.2000369453872,94,2.09,2.22
185778.261087818,92.889130543909,94,2.09,2.22
192491.823307668,96.2459116538341,94,2.09,2.22
190246.17781427,95.1230889071348,94,2.09,2.22
185763.911274952,92.8819556374759,94,2.09,2.22
188198.754791939,94.0993773959696,94,2.09,2.22
189939.806519534,94.969903259767,94,2.09,2.22
191618.758460385,95.8093792301924,94,2.09,2.22
189479.092012171,94.7395460060857,94,2.09,2.22
185558.242794096,92.7791213970479,94,2.09,2.22
182479.329632371,91.2396648161855,94,2.09,2.22
183590.821243216,91.7954106216082,94,2.09,2.22
187890.745039589,93.9453725197943,94,2.09,2.22
182068.8093849,91.0344046924502,94,2.09,2.22
185200.546273337,92.6002731366683,94,2.09,2.22
191041.392871224,95.5206964356118,94,2.09,2.22
191496.88756424,95.74844378212,94,2.09,2.22
200654.889249688,100.327444624844,94,2.09,2.22
192947.59224848,96.4737961242399,94,2.09,2.22
192575.505484983,96.2877527424913,94,2.09,2.22
188362.699529917,94.1813497649583,94,2.09,2.22
187721.188107483,93.8605940537417,94,2.09,2.22
192228.443969265,96.1142219846324,94,2.09,2.22
186815.508319661,93.4077541598304,94,2.09,2.22
189882.647135824,94.9413235679121,94,2.09,2.22
180275.055502088,90.137527751044,94,2.09,2.22
191438.772327332,95.7193861636661,94,2.09,2.22
183459.127983022,91.7295639915108,94,2.09,2.22
189331.604578615,94.6658022893074,94,2.09,2.22
184962.19024756,92.4810951237801,94,2.09,2.22
187120.125917614,93.560062958807,94,2.09,2.22
194574.334128371,97.2871670641853,94,2.09,2.22
181279.126433977,90.6395632169887,94,2.09,2.22
190450.330948652,95.225165474326,94,2.09,2.22
190154.417923617,95.0772089618084,94,2.09,2.22
176840.341136291,88.4201705681454,94,2.09,2.22
190844.610151866,95.4223050759328,94,2.09,2.22
183305.477531746,91.6527387658728,94,2.09,2.22
185662.162343265,92.8310811716325,94,2.09,2.22
183928.132638717,91.9640663193584,94,2.09,2.22
191635.589917018,95.8177949585092,94,2.09,2.22
184962.583215463,92.4812916077314,94,2.09,2.22
184713.271988302,92.356635994151,94,2.09,2.22
191622.524502143,95.8112622510714,94,2.09,2.22
186569.373436214,93.2846867181072,94,2.09,2.22
183532.998647178,91.7664993235888,94,2.09,2.22
195535.87807563,97.767939037815,94,2.09,2.22
189152.702702938,94.5763513514692,94,2.09,2.22
190180.912761285,95.0904563806426,94,2.09,2.22
191755.597148335,95.8777985741673,94,2.09,2.22
191193.094295383,95.5965471476916,94,2.09,2.22
183559.06671324,91.7795333566199,94,2.09,2.22
189999.394809919,94.9996974049593,94,2.09,2.22
179554.330716641,89.7771653583205,94,2.09,2.22
188313.04507281,94.1565225364052,94,2.09,2.22
188324.538267236,94.1622691336182,94,2.09,2.22
193944.008582173,96.9720042910865,94,2.09,2.22
186680.440847917,93.3402204239583,94,2.09,2.22
184125.538083747,92.0627690418734,94,2.09,2.22
179433.161167676,89.7165805838382,94,2.09,2.22
188674.29188747,94.337145943735,94,2.09,2.22
182590.388362825,91.2951941814127,94,2.09,2.22
184503.595067182,92.2517975335909,94,2.09,2.22
196396.957350491,98.1984786752455,94,2.09,2.22
189345.910288495,94.6729551442473,94,2.09,2.22
188726.51821132,94.36325910566,94,2.09,2.22
191537.518282075,95.7687591410373,94,2.09,2.22
186967.270038709,93.4836350193546,94,2.09,2.22
193898.635340739,96.9493176703693,94,2.09,2.22
194058.633593724,97.0293167968618,94,2.09,2.22
182611.062438142,91.3055312190712,94,2.09,2.22
190500.427498287,95.2502137491434,94,2.09,2.22
180497.108404701,90.2485542023507,94,2.09,2.22
179450.430450389,89.7252152251945,94,2.09,2.22
187019.448013445,93.5097240067224,94,2.09,2.22
181373.943353637,90.6869716768186,94,2.09,2.22
195700.253748825,97.8501268744127,94,2.09,2.22
186127.065797294,93.0635328986468,94,2.09,2.22
182863.531409668,91.4317657048338,94,2.09,2.22
189971.144964854,94.985572482427,94,2.09,2.22
189782.00092859,94.8910004642951,94,2.09,2.22
187263.687542533,93.6318437712666,94,2.09,2.22
191272.878377193,95.6364391885967,94,2.09,2.22
181645.580254146,90.8227901270731,94,2.09,2.22
181756.956800737,90.8784784003685,94,2.09,2.22
190261.668585978,95.1308342929891,94,2.09,2.22
195087.943360504,97.5439716802518,94,2.09,2.22
188549.974422459,94.2749872112295,94,2.09,2.22
189901.566476475,94.9507832382374,94,2.09,2.22
193944.902197587,96.9724510987936,94,2.09,2.22
187519.271674395,93.7596358371976,94,2.09,2.22
186693.557039151,93.3467785195755,94,2.09,2.22
189533.350970031,94.7666754850153,94,2.09,2.22
186325.997164602,93.1629985823008,94,2.09,2.22
189701.688968265,94.8508444841324,94,2.09,2.22
186092.332598291,93.0461662991455,94,2.09,2.22
191589.139910428,95.7945699552139,94,2.09,2.22
186373.473400907,93.1867367004536,94,2.09,2.22
183255.107820701,91.6275539103505,94,2.09,2.22
190331.411064472,95.165705532236,94,2.09,2.22
185579.724867557,92.7898624337786,94,2.09,2.22
186820.934066326,93.4104670331629,94,2.09,2.22
186287.131885059,93.1435659425295,94,2.09,2.22
188907.937916627,94.4539689583134,94,2.09,2.22
185804.245468661,92.9021227343303,94,2.09,2.22
187506.524206169,93.7532621030846,94,2.09,2.22
190255.241883285,95.1276209416427,94,2.09,2.22
186229.054663224,93.1145273316121,94,2.09,2.22
191432.791927497,95.7163959637487,94,2.09,2.22
187723.687079203,93.8618435396014,94,2.09,2.22
184012.01922679,92.006009613395,94,2.09,2.22
183296.76900907,91.6483845045352,94,2.09,2.22
189385.163827786,94.692581913893,94,2.09,2.22
199835.999679918,99.917999839959,94,2.09,2.22
191617.22641396,95.8086132069801,94,2.09,2.22
183743.632118042,91.871816059021,94,2.09,2.22
181162.176118456,90.5810880592281,94,2.09,2.22
191716.639991188,95.8583199955941,94,2.09,2.22
191587.899284609,95.7939496423043,94,2.09,2.22
182042.482536311,91.0212412681554,94,2.09,2.22
186967.734653534,93.4838673267669,94,2.09,2.22
186515.228153893,93.2576140769463,94,2.09,2.22
180120.228599363,90.0601142996813,94,2.09,2.22
196546.069124749,98.2730345623744,94,2.09,2.22
198494.398724639,99.2471993623197,94,2.09,2.22
189447.764595058,94.723882297529,94,2.09,2.22
187203.206725826,93.6016033629131,94,2.09,2.22
186601.238328034,93.3006191640169,94,2.09,2.22
196063.282507895,98.0316412539474,94,2.09,2.22
187605.506799219,93.8027533996093,94,2.09,2.22
182468.563997148,91.234281998574,94,2.09,2.22
192616.030973265,96.3080154866323,94,2.09,2.22
186123.756251087,93.0618781255434,94,2.09,2.22
184601.364161103,92.3006820805515,94,2.09,2.22
187288.917712636,93.6444588563181,94,2.09,2.22
183059.185856948,91.5295929284741,94,2.09,2.22
195043.817448261,97.5219087241303,94,2.09,2.22
187457.908168048,93.7289540840239,94,2.09,2.22
186596.084504585,93.2980422522923,94,2.09,2.22
193568.877356302,96.784438678151,94,2.09,2.22
187391.858700787,93.6959293503935,94,2.09,2.22
189728.565705791,94.8642828528956,94,2.09,2.22
191157.98383782,95.57899191891,94,2.09,2.22
195166.476057037,97.5832380285186,94,2.09,2.22
191958.681988756,95.979340994378,94,2.09,2.22
188492.407509017,94.2462037545085,94,2.09,2.22
198058.400455808,99.029200227904,94,2.09,2.22
186337.998066984,93.1689990334922,94,2.09,2.22
189958.588708965,94.9792943544827,94,2.09,2.22
183473.033887868,91.7365169439342,94,2.09,2.22
190316.572917866,95.1582864589332,94,2.09,2.22
190462.995419883,95.2314977099413,94,2.09,2.22
188231.107667965,94.1155538339826,94,2.09,2.22
188195.221555758,94.097610777879,94,2.09,2.22
184199.70653583,92.099853267915,94,2.09,2.22
182932.257777042,91.4661288885212,94,2.09,2.22
181935.846019193,90.9679230095967,94,2.09,2.22
186636.622265084,93.3183111325419,94,2.09,2.22
188526.349995638,94.2631749978191,94,2.09,2.22
190757.19316605,95.378596583025,94,2.09,2.22
187871.797273976,93.935898636988,94,2.09,2.22
186491.405456806,93.2457027284032,94,2.09,2.22
190735.199615375,95.3675998076875,94,2.09,2.22
185702.405452667,92.8512027263335,94,2.09,2.22
190365.958302198,95.1829791510989,94,2.09,2.22
182046.759846371,91.0233799231857,94,2.09,2.22
195960.184967527,97.9800924837636,94,2.09,2.22
186738.390470035,93.3691952350173,94,2.09,2.22
186013.3111867,93.0066555933499,94,2.09,2.22
183875.70384667,91.9378519233352,94,2.09,2.22
185269.359955357,92.6346799776783,94,2.09,2.22
193121.942122273,96.5609710611365,94,2.09,2.22
180492.671419797,90.2463357098984,94,2.09,2.22
193685.951372031,96.8429756860157,94,2.09,2.22
192917.963703587,96.4589818517935,94,2.09,2.22
185693.757543688,92.8468787718441,94,2.09,2.22
187815.317967864,93.9076589839319,94,2.09,2.22
185012.400246258,92.5062001231289,94,2.09,2.22
192385.00821342,96.1925041067099,94,2.09,2.22
193085.708479338,96.5428542396688,94,2.09,2.22
187812.802846868,93.906401423434,94,2.09,2.22
190738.264602292,95.369132301146,94,2.09,2.22
178920.111935149,89.4600559675745,94,2.09,2.22
194303.532989715,97.1517664948575,94,2.09,2.22
186632.202638847,93.3161013194233,94,2.09,2.22
191349.057631133,95.6745288155663,94,2.09,2.22
192612.744839905,96.3063724199524,94,2.09,2.22
191894.891800842,95.947445900421,94,2.09,2.22
183451.743310192,91.7258716550958,94,2.09,2.22
188176.887949601,94.0884439748004,94,2.09,2.22
186317.275112428,93.1586375562142,94,2.09,2.22
187163.450055928,93.5817250279638,94,2.09,2.22
192165.57450009,96.0827872500449,94,2.09,2.22
189899.059338558,94.9495296692791,94,2.09,2.22
192233.444133337,96.1167220666686,94,2.09,2.22
192353.604321845,96.1768021609224,94,2.09,2.22
197825.311317756,98.9126556588778,94,2.09,2.22
188606.855547148,94.3034277735739,94,2.09,2.22
191960.323108329,95.9801615541644,94,2.09,2.22
185257.611933002,92.6288059665009,94,2.09,2.22
191054.785978502,95.527392989251,94,2.09,2.22
187407.984606103,93.7039923030517,94,2.09,2.22
182035.206390451,91.0176031952257,94,2.09,2.22
184653.414197636,92.3267070988181,94,2.09,2.22
178846.459524578,89.4232297622891,94,2.09,2.22
184249.235625153,92.1246178125765,94,2.09,2.22
194699.159029251,97.3495795146256,94,2.09,2.22
185602.363958978,92.801181979489,94,2.09,2.22
191457.363800687,95.7286819003433,94,2.09,2.22
182788.675580067,91.3943377900337,94,2.09,2.22
186534.978999939,93.2674894999693,94,2.09,2.22
189414.81453487,94.7074072674351,94,2.09,2.22
185241.214878092,92.6206074390462,94,2.09,2.22
191736.23791606,95.8681189580298,94,2.09,2.22
199422.496094118,99.7112480470592,94,2.09,2.22
181374.801790204,90.6874008951021,94,2.09,2.22
186411.178986207,93.2055894931037,94,2.09,2.22
195667.462502677,97.8337312513387,94,2.09,2.22
191954.616203347,95.9773081016735,94,2.09,2.22
191593.773596649,95.7968867983245,94,2.09,2.22
186663.651508741,93.3318257543705,94,2.09,2.22
186430.561931769,93.2152809658844,94,2.09,2.22
183873.154077423,91.9365770387113,94,2.09,2.22
188514.763804333,94.2573819021664,94,2.09,2.22
184722.304560604,92.3611522803019,94,2.09,2.22
192980.069079297,96.4900345396485,94,2.09,2.22
189556.040379729,94.7780201898645,94,2.09,2.22
183772.004441577,91.8860022207883,94,2.09,2.22
190625.069492092,95.3125347460462,94,2.09,2.22
188928.604657586,94.4643023287928,94,2.09,2.22
181863.27169409,90.9316358470449,94,2.09,2.22
187925.0468652,93.9625234326001,94,2.09,2.22
189742.000936131,94.8710004680656,94,2.09,2.22
182232.364562511,91.1161822812555,94,2.09,2.22
191535.021550429,95.7675107752147,94,2.09,2.22
188460.022379401,94.2300111897007,94,2.09,2.22
182494.10777886,91.2470538894298,94,2.09,2.22
188924.290922588,94.462145461294,94,2.09,2.22
188579.412450237,94.2897062251186,94,2.09,2.22
185866.727523323,92.9333637616613,94,2.09,2.22
184495.164473867,92.2475822369337,94,2.09,2.22
195446.047065112,97.7230235325558,94,2.09,2.22
187557.689522979,93.7788447614897,94,2.09,2.22
181603.41729034,90.80170864517,94,2.09,2.22
193377.041811345,96.6885209056726,94,2.09,2.22
192312.226320085,96.1561131600425,94,2.09,2.22
188440.61516558,94.2203075827901,94,2.09,2.22
189239.074823235,94.6195374116177,94,2.09,2.22
188419.175163939,94.2095875819694,94,2.09,2.22
190611.420591027,95.3057102955133,94,2.09,2.22
201710.221960096,100.855110980048,94,2.09,2.22
185250.917628309,92.6254588141547,94,2.09,2.22
183616.952435612,91.808476217806,94,2.09,2.22
188392.236282074,94.196118141037,94,2.09,2.22
188690.875121455,94.3454375607275,94,2.09,2.22
187961.710953871,93.9808554769353,94,2.09,2.22
188920.338540075,94.4601692700376,94,2.09,2.22
185082.149534997,92.5410747674985,94,2.09,2.22
188303.097580916,94.1515487904581,94,2.09,2.22
190530.83991994,95.2654199599702,94,2.09,2.22
189487.271656809,94.7436358284044,94,2.09,2.22
185229.431004387,92.6147155021935,94,2.09,2.22
