"Plot","PloKg_Ha.sum","Comp"
1,136040.047152607,3
2,89446.6898088889,3
3,136346.587630904,3
4,217951.473646234,3
5,56887.5764370401,3
6,56884.4297455311,3
7,189454.167996916,3
8,20323.974538284,2
9,90246.7448738034,2
10,154435.032696955,3
11,134336.369570482,3
12,218164.619033028,4
13,139983.228053355,4
14,116030.39905507,4
15,132648.450072402,4
16,145200.883148911,4
17,168940.865772475,4
18,118134.400379554,4
19,172893.451708238,4
20,72460.0572493242,2
21,79704.5327587315,2
22,154196.166193048,2
23,42134.2516864927,2
24,162457.188249655,3
25,139168.058445313,2
26,172117.314204099,2
27,273148.237122114,2
28,134369.165224396,3
29,232059.82567225,3
30,277775.929916034,4
31,215428.305155108,4
32,233450.810801461,4
33,233388.378663952,4
34,188857.660092022,4
35,40351.3967866445,2
36,101764.279762581,2
37,106015.670445728,2
38,94487.7279915787,2
39,151339.625551662,3
40,113472.090262574,2
41,99760.709053439,2
42,61479.2853521002,2
43,13357.5385360502,4
44,120989.99252754,6
45,148316.328007393,5
46,130812.72277766,5
47,50804.5562040693,5
48,199483.615514251,5
49,98353.7147763945,6
50,66898.7822855251,9
51,13979.9551652392,8
52,3617.37649436847,8
53,46343.5079098363,7
54,84379.8381955393,7
55,130715.862135087,7
56,151309.276718246,7
57,177550.291895445,7
58,114610.620100522,8
59,47561.8067143415,8
60,59547.4714914774,8
61,178879.478870038,9
62,213220.44788305,9
64,85954.5346713254,9
65,28702.0058415661,9
66,102890.049806517,8
67,109382.962084184,7
68,166147.596324064,10
69,123826.03256846,7
70,32504.3596417964,7
71,157189.844743826,7
72,205243.21920699,7
73,118900.104802242,7
74,18568.9781806141,8
75,69252.2262692557,9
76,175206.359142644,7
77,207814.283844759,7
78,174924.14044469,7
79,52378.8974562995,7
80,175765.53776014,10
81,197050.525592682,10
82,124233.105227263,10
83,187384.859436699,10
84,279067.647311743,10
85,127425.862980187,7
86,193158.511314945,7
87,34565.9374428569,11
88,165704.4558003,10
89,132860.87125821,10
90,289341.115269616,10
92,83912.513637734,10
93,140794.659375417,10
94,145493.860499251,10
95,135508.829141606,12
96,181377.277726435,14
97,150462.793266879,13
98,244291.105079,13
99,256500.164008639,13
100,122797.506041721,13
101,140322.606129196,13
102,116311.916102855,13
104,89070.4551874787,14
105,222941.133980419,14
106,154743.049969606,14
107,214662.232278853,14
108,187361.215910607,14
109,150219.142372111,14
110,143267.355663403,14
111,71873.5153279333,14
112,130701.073983286,14
113,207184.85640719,13
114,130228.762546765,13
115,125290.907296027,10
116,127566.415082311,10
118,53647.0520749421,13
119,140292.287091721,13
120,130934.478790964,13
121,85699.539771576,13
122,90763.4392244852,14
123,15794.4610982342,14
124,149452.141675274,14
125,97276.609934616,17
126,59414.8836579472,17
127,25417.5872256515,17
128,22911.0442763031,17
129,143790.543310122,17
130,110679.046935155,17
131,135903.97882803,13
132,169668.865273323,13
133,184434.326159047,13
134,87288.8271647648,10
135,117157.986424042,10
136,158983.660507159,10
137,71074.2586153215,16
138,93792.2596976421,13
139,167807.669684644,13
140,220585.499962934,17
143,12192.3657354097,17
144,12130.8198257414,17
145,9170.27595716185,17
146,17051.564996071,17
147,360900.075401669,17
148,201375.603188645,13
149,186111.556569785,16
150,195134.712112601,15
151,186526.980365024,15
152,57564.6097962371,16
153,139628.586074141,16
154,205136.466840958,17
155,151312.806482063,17
156,20477.2887226146,17
157,7712.39673228132,17
158,4971.37450764296,17
159,148066.360501722,15
160,177752.657452939,19
161,207464.367811093,19
162,164543.140237122,19
163,146625.998581616,18
164,70458.1792500853,18
165,124565.163168481,18
166,122563.789318138,19
167,142182.375589964,19
168,259918.051368221,19
169,298970.388973179,19
170,168820.235758094,20
171,173296.323376643,20
172,141760.13487494,19
173,307189.480476221,19
174,180871.466544432,6
175,133072.930232328,6
176,121984.550822119,6
177,118083.583341158,6
178,53595.2832764168,6
179,178604.516607938,6
180,108900.620747938,6
181,87678.9317594382,6
183,18094.3382474313,6
184,79584.9373390728,6
185,194750.143429721,9
186,56291.2357086729,9
187,76952.8259934863,9
188,70239.9092036789,9
189,89961.1266759908,9
190,181822.437099381,12
191,59275.6965004967,9
192,139955.400349901,9
193,163867.15115917,9
194,218796.723281754,9
195,149607.157228073,9
196,268075.207825326,12
197,325880.005574692,12
198,20123.990234404,12
199,88463.8341528988,9
200,218396.238199493,5
201,165171.536549325,5
202,10793.7216508602,4
204,140421.042754135,5
205,176499.099188012,5
206,9469.08799414855,7
208,170913.177050849,7
209,164881.854277143,8
210,3104.04902566434,8
211,144719.523942019,7
212,192522.408583445,7
213,118509.634996022,7
214,141229.458167567,7
215,165370.377902868,10
216,196435.788799217,7
217,131871.428663211,7
218,233426.674206669,7
219,199695.766110021,7
220,46568.9980281008,10
221,439773.115116411,7
222,161414.041993051,7
223,253711.978521619,7
224,83770.5607656306,7
225,127882.581873354,12
226,8929.88970213943,12
227,131321.912341914,11
228,198852.885595252,7
229,382143.514784302,7
230,195398.304868466,11
231,296254.501129271,11
232,150822.825385608,11
233,264669.494763842,11
234,183325.198741741,11
235,100763.212520324,11
236,53562.3920471674,11
237,48528.9403932926,12
238,110201.660912411,12
239,11728.2341370841,12
240,221296.0647119,12
241,36780.2687120385,12
242,126388.477822312,12
243,113596.952644767,12
244,64041.8776137549,12
245,179552.479878227,11
246,156394.810638372,11
247,151690.238362582,11
248,219613.066342794,11
249,145894.624049263,11
250,134083.463752144,11
251,46188.6612781268,10
252,161227.091246053,10
253,168819.284067153,17
254,164512.356523329,17
255,115677.250455909,16
256,32049.0124392739,17
257,224837.102716674,20
258,90532.0156565832,17
259,226136.759324513,17
260,234444.244105306,17
261,231379.531809848,20
262,125861.149627118,1
263,330981.887137188,1
264,235447.889499513,1
265,193527.986765047,1
266,222189.260513089,1
267,225689.907375101,1
268,147419.626693288,1
269,234981.387930395,1
270,163811.731006262,1
271,220681.159145609,1
