"Plot","PloKg_Ha.sum","Comp"
1,158566.358361792,3
2,137571.715927905,3
3,123314.193384501,3
4,195933.167710274,3
5,69659.4199058035,3
6,43341.1651255541,3
7,242818.524411519,3
8,61452.3133244046,2
9,104762.130723573,2
10,223020.735202107,3
11,175043.652229136,3
12,198408.345630934,4
13,75168.281324286,4
14,160810.9211438,4
15,144665.956316749,4
16,155068.190755302,4
17,163247.491754101,4
18,135650.484172914,4
19,147734.577227777,4
20,106255.299624894,2
21,99153.7197234399,2
22,211394.075678427,2
23,94349.7011015948,2
24,194377.870121526,3
25,191760.694928908,2
26,215852.927983671,2
27,348252.670539628,2
28,202359.214833229,3
29,250027.612721962,3
30,267963.783768156,4
31,232984.772124561,4
32,226711.424259797,4
33,247440.214017782,4
34,193632.215643734,4
35,56693.4221000974,2
36,176044.959222706,2
37,166476.919157075,2
38,116544.239894634,2
39,212353.655377255,3
40,100748.653533851,2
41,122263.617397192,2
42,123842.604221545,2
43,17584.4123345013,4
44,167920.757668909,6
45,214755.925270457,5
46,146462.350993116,5
47,99937.6877925108,5
48,175205.24016645,5
49,125623.435488255,6
50,94639.7326569241,9
51,19764.8631284502,8
52,30654.7400997317,8
53,29931.2212381946,7
54,101785.768185704,7
55,172286.48416303,7
56,172905.174693466,7
57,185257.361954701,7
58,156173.437781391,8
59,51120.0085004176,8
60,76137.1789090801,8
61,191349.836119856,9
62,227468.843908611,9
64,93656.9113534938,9
65,53250.0669259624,9
66,125899.577944382,8
67,138032.990866993,7
68,181743.047434307,10
69,174282.360758712,7
70,64957.9396766876,7
71,178855.508191536,7
72,260560.324725837,7
73,131413.761756028,7
74,9194.25518055974,8
75,81608.80664021,9
76,183104.243774185,7
77,187914.276495851,7
78,207911.799078792,7
79,120534.040396752,7
80,219520.967787371,10
81,219225.19869232,10
82,118531.240136797,10
83,214666.27987625,10
84,282455.902680103,10
85,184447.04267012,7
86,134186.700903911,7
87,73993.0246759216,11
88,212387.568159017,10
89,130996.491477343,10
90,282378.801861196,10
92,116927.409784376,10
93,127735.955629797,10
94,189819.467962816,10
95,168395.41026376,12
96,249862.027463268,14
97,214137.892914507,13
98,273054.234804268,13
99,119072.23462141,13
100,118858.610774774,13
101,175455.667623787,13
102,144484.104342626,13
103,4256.28539657908,13
104,107342.329742072,14
105,232872.960932674,14
106,151468.530188838,14
107,196423.476552191,14
108,187726.06374819,14
109,174001.822884903,14
110,126766.201716887,14
111,30855.9360689522,14
112,32649.7387505375,14
113,234606.383863044,13
114,115047.333844017,13
115,152097.120671335,10
116,153425.159254336,10
117,11542.6803793558,13
118,84687.9993476424,13
119,121526.827253723,13
120,173522.834474136,13
121,159716.623856521,13
122,126360.315306188,14
123,24961.489470849,14
124,166068.913266088,14
125,158950.330394429,17
126,109372.222434184,17
127,91806.5495322299,17
128,23980.3899368893,17
129,139296.617387308,17
130,108235.874416214,17
131,158390.721893023,13
132,247081.499374824,13
133,206003.635875716,13
134,100974.478716832,10
135,139607.507944431,10
136,156514.009434475,10
137,86128.4512189698,16
138,146456.336369432,13
139,196615.105375526,13
140,236269.351808563,17
141,47568.5941149434,17
142,14388.4382064119,17
143,88923.7841338717,17
144,36578.069733077,17
145,25743.579545623,17
146,66951.1308619522,17
147,392421.412364154,17
148,251420.158557499,13
149,185098.421121561,16
150,105734.32304058,15
151,231112.851133966,15
152,107249.600786783,16
153,96360.8481588194,16
154,215124.12387876,17
155,100710.528607365,17
156,32868.3190028812,17
157,33966.3537656356,17
158,36053.2257404506,17
159,180811.436012118,15
160,186688.601394662,19
161,224910.368527698,19
162,163198.0516944,19
163,127655.863780808,18
164,140644.681550634,18
165,132506.943506818,18
166,169838.147378461,19
167,160323.123779918,19
168,273421.205181301,19
169,312941.83862056,19
170,197822.692611061,20
171,223373.815343254,20
172,25699.6642730413,19
173,316133.293121087,19
174,155418.217590922,6
175,155208.846345068,6
176,148007.436738607,6
177,103666.854756527,6
178,123827.60421166,6
179,281569.479912821,6
180,181927.560142926,6
181,72124.0410787623,6
182,48415.112136323,6
183,26089.5507726978,6
184,92946.3026642879,6
185,38030.7923871841,9
186,88740.9564353598,9
187,66542.2553189387,9
188,105356.742239662,9
189,129220.994133723,9
190,226938.857613063,12
191,78555.2254389823,9
192,114284.459808345,9
193,44136.9995502686,9
194,113314.211650514,9
195,52003.5680305224,9
196,229812.958866875,12
197,319817.462877391,12
198,110090.70259411,12
199,110834.665879225,9
200,254678.324750547,5
201,180919.005307819,5
202,15452.481479468,4
204,168989.22104051,5
205,171784.453255116,5
206,35813.3381041103,7
208,145631.649426963,7
209,108207.613117331,8
211,163829.575764914,7
212,221799.691395304,7
213,134850.954829176,7
214,134592.062433591,7
215,203948.440267269,10
216,127971.652125352,7
217,121990.834409888,7
218,221497.262050083,7
219,140930.914585629,7
220,69634.5427714327,10
221,484361.729064015,7
222,176072.320445975,7
223,263767.583094053,7
224,107065.768571189,7
225,154153.309182922,12
226,21508.4119144225,12
227,169642.669610513,11
228,209567.051551079,7
229,342613.04650025,7
230,192032.525844729,11
231,257741.625087105,11
232,146731.518881305,11
233,232872.185961462,11
234,209126.082775288,11
235,135668.79207089,11
236,66427.3565381555,11
237,90435.9877238155,12
238,132384.427462279,12
239,20832.7786975581,12
240,255087.32095007,12
241,65285.7856214448,12
242,173809.339843731,12
243,142379.921885116,12
244,92493.7531122895,12
245,211725.287595815,11
246,204862.11506699,11
247,173045.964090678,11
248,234366.316235303,11
249,109847.400008896,11
250,168579.472756656,11
251,30486.8518406864,10
252,147910.423113229,10
253,151958.889020129,17
254,178202.647415527,17
255,140637.02892613,16
256,74116.6804781979,17
257,228891.198430388,20
258,129582.26446183,17
259,240293.925403893,17
260,264191.40941866,17
261,260840.379736388,20
262,144464.548588288,1
263,330117.320273002,1
264,258410.578730176,1
265,232829.413861611,1
266,192922.429379815,1
267,224687.585935763,1
268,172723.620505775,1
269,170317.612054778,1
270,135189.42325655,1
271,223134.807559441,1
272,217313.614486293,1
273,220535.259687758,1
274,105991.32957404,1
275,211175.803225217,1
276,228566.179269854,1
277,189789.273713447,1
278,111828.055880362,1
279,222865.071097098,1
280,173465.606944644,1
281,122984.626050815,1
282,176221.299140568,1
283,180863.879862412,1
284,219963.083664866,1
285,51788.9575621593,4
286,150197.589919098,4
287,203664.134865056,4
288,125763.950737115,4
289,138897.59328467,4
290,4038.5420597698,4
