"Comp","Area_Ha","Mean","Var","n","Wh","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,197504.089286831,2425740898.39311,23,0.0801237964236589,677079.417965711,15824.7774428582
2,1.62,169069.90594498,6807882332.66319,16,0.0557083906464924,1320484.42424053,9418.61236694866
3,1.32,177775.205724552,3680947565.37544,13,0.0453920220082531,583411.971818715,8069.5760507706
4,2.13,157315.83136234,7014636555.53785,20,0.0732462173314993,1881679.18581689,11522.7895736515
5,1.01,183967.796856699,1061815574.66343,8,0.0347317744154058,160108.005502383,6389.52802012606
6,1.32,145257.199395999,2044358398.16185,13,0.0453920220082531,324020.688421325,6593.51799184039
7,3.34,181170.600921118,5007540694.08749,33,0.114855570839065,2001772.30631314,20808.4527880514
8,0.91,85643.7462510028,2584236923.83529,9,0.031292984869326,281179.593192196,2680.04845558503
9,1.72,122169.086085915,2254577018.10196,17,0.0591471801925722,463963.957063798,7225.9569486855
10,2.13,186020.461166247,3242657978.24184,21,0.0732462173314993,828423.197161898,13625.2951266887
11,1.52,187535.758939688,3592353900.40168,15,0.0522696011004127,654314.021517587,9802.41931184065
12,1.42,167450.046735,4433699826.46366,14,0.0488308115543329,755137.67001038,8176.72167688099
13,2.03,179811.525455083,4001159780.23378,19,0.0698074277854195,1026208.39970623,12552.1800781918
14,1.32,142324.814434667,5284122865.92382,13,0.0453920220082531,837507.32271747,6460.41110913895
15,0.3,186267.95266124,4116488013.91063,3,0.0103163686382393,146035.790393383,1921.60886514347
16,0.51,137998.882827674,1166736678.75505,5,0.0175378266850069,71771.8919265047,2420.20048975632
17,2.53,152031.720405846,5255023720.82797,25,0.0870013755158184,1591061.29155864,13226.9687973449
18,0.3,137065.594821664,68538978.166401,3,0.0103163686382393,2431.47649536737,1414.01920379984
19,0.91,219990.121289098,7362584870.48144,9,0.031292984869326,801090.875078347,6884.14753690094
20,0.41,219326.814356069,2208742508.28202,4,0.0140990371389271,109765.031708941,3092.29690116878
