"Comp","Area_Ha","Mean","Var","n","Wh","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,207141.19128733,2708223725.29325,23,0.0801237964236589,755926.795337941,16596.9386416602
2,1.62,185612.070797483,5135502000.99783,16,0.0557083906464924,996102.763180532,10340.1497486906
3,1.32,181847.90276792,2311801198.57494,13,0.0453920220082531,366409.048691762,8254.44400459609
4,2.13,157099.801972276,9528699489.41496,21,0.0732462173314993,2434359.63607117,11506.9662379968
5,1.01,206425.717600189,1285935294.28782,8,0.0347317744154058,193902.349980885,7169.53145722802
6,1.32,166921.402477666,841532982.492863,13,0.0453920220082531,133378.812913508,7576.89997491471
7,3.34,185495.241026825,2753284459.30484,33,0.114855570839065,1100629.81386177,21305.1617960659
8,0.91,125633.958646127,2519683509.387,9,0.031292984869326,274155.816600227,3931.46156698679
9,1.72,150354.108656792,2803724081.30384,17,0.0591471801925722,576971.604355262,8893.02155741683
10,2.13,203373.985509283,3744549643.77978,21,0.0732462173314993,956644.767547584,14896.3751421861
11,1.52,200643.38924829,3844553773.6465,15,0.0522696011004127,700249.894726122,10487.5499194429
12,1.42,198725.154246926,2306722645.31567,14,0.0488308115543329,392875.754318533,9703.91055813737
13,2.03,188812.961106142,5194718128.18916,20,0.0698074277854195,1265713.06484925,13180.5471473682
14,1.32,163130.599267656,4084371640.8016,13,0.0453920220082531,647352.691196909,7404.82775217697
15,0.3,201110.201847029,5307013972.14572,3,0.0103163686382393,188270.675739141,2074.72697916467
16,0.51,135669.882153571,1742554929.46977,5,0.0175378266850069,107193.393634759,2379.35487958464
17,2.53,173114.401691188,3135991404.94685,25,0.0870013755158184,949482.780695301,15061.1910687313
18,0.3,144636.501941423,105514879.43863,3,0.0103163686382393,3743.22693641088,1492.12347257314
19,0.91,217712.235952483,6964400522.50231,9,0.031292984869326,757766.16597462,6812.86570552819
20,0.41,207151.222575034,946083877.445804,4,0.0140990371389271,47016.3119593011,2920.63278045955
