"Comp","Area_Ha","Mean","Var","n","Wh","Wh_2xSh_2_nh","WhxYbarh"
1,2.33,NA,NA,NA,0.0801237964236589,NA,NA
2,1.62,162991.7073688,2416979581.71897,16,0.0557083906464924,468807.146688562,9080.00570623986
3,1.32,143076.20412255,3126978868.22349,13,0.0453920220082531,495610.674953922,6494.51820638812
4,2.13,157840.789902718,3409040990.63805,14,0.0732462173314993,1306395.24226892,11561.24080099
5,1.01,130303.91902858,4027956992.52647,4,0.0347317744154058,1214727.25718346,4525.68632114395
6,1.32,152192.656580658,47179044.5891336,2,0.0453920220082531,48604.692985216,6908.33241700372
7,3.34,170027.197209979,1482140095.85768,17,0.114855570839065,1150123.46513166,19528.5707937184
8,0.91,170064.751256177,4507026550.32139,7,0.031292984869326,630501.402126256,5321.83368786523
9,1.72,153697.235749857,4493693493.80971,6,0.0591471801925722,2620114.59164781,9090.75809799705
10,2.13,169479.715763652,3388904959.19127,17,0.0732462173314993,1069500.20087348,12413.7480941052
11,1.52,157314.784840592,NA,1,0.0522696011004127,NA,8222.78105081501
12,1.42,102498.125722165,NA,1,0.0488308115543329,NA,5005.06666181135
13,2.03,133953.126417272,3413545723.16574,20,0.0698074277854195,831723.553165583,9350.92319900486
14,1.32,157039.451405629,1787139534.52098,13,0.0453920220082531,283252.771530235,7128.33823436831
15,0.3,160903.456128126,603417490.351613,3,0.0103163686382393,21406.7306507169,1659.93936858452
16,0.51,174644.403957636,174624440.376534,4,0.0175378266850069,13427.5439894075,3062.88328811536
17,2.53,147388.775804607,3900604984.48512,19,0.0870013755158184,1553926.98446207,12823.0262305934
18,0.3,134085.066122047,4113106464.8774,3,0.0103163686382393,145915.82716644,1383.27097099773
19,0.91,221561.361701555,5197208414.45764,9,0.031292984869326,565485.66976725,6933.31633935403
20,0.41,188706.281440425,1699114994.91278,2,0.0140990371389271,168877.459092144,2660.57687037739
