"Plot","PloKg_Ha.sum","Comp"
1,164999.245746085,3
2,206308.30297564,3
3,148073.441033295,3
4,232788.359330444,3
5,31795.392600683,3
6,76084.0455068868,3
7,197591.092120805,3
8,136532.851924702,2
9,146810.849483303,2
10,114655.385573012,3
11,111618.588312914,3
12,227866.102869879,4
13,171450.612430378,4
14,116569.204548712,4
15,150106.15832522,4
16,121770.128979011,4
17,200433.031258803,4
18,101910.785769708,4
19,135790.611684121,4
20,144926.522133209,2
21,92668.5109887666,2
22,190792.605748655,2
23,219664.344766066,2
24,143441.103705095,3
25,163765.836742561,2
26,154357.81134015,2
27,194969.594371933,2
28,122774.656360734,3
29,191246.382385356,3
30,212752.433753577,4
31,172755.172039557,4
32,221948.172004962,4
33,191854.649851984,4
34,174852.235856936,4
35,106784.422885892,2
36,216683.078119826,2
37,128817.646728575,2
38,86755.0946561038,2
39,118614.657942207,3
40,265729.874826409,2
41,199669.079310873,2
42,158939.193873769,2
43,9711.75926520809,4
44,157049.561180767,6
45,118264.021404249,5
46,135047.203080907,5
47,56849.0714875237,5
48,211055.380141641,5
49,147335.751980548,6
50,70109.9694676861,9
51,82026.6485373846,8
52,98422.6467285748,8
53,175380.832230421,7
54,182378.055450399,7
55,172513.633686364,7
56,175866.225241298,7
57,241327.037085543,7
58,164529.428697805,8
59,251973.958160154,8
60,208871.245691722,8
61,145722.944915317,9
62,244480.142144774,9
64,204927.28560909,9
65,87978.8138062597,9
66,241928.379731446,8
67,175166.979342008,7
68,104839.505270753,10
69,181483.335618232,7
70,66260.2588821951,7
71,158105.355688114,7
72,183544.883732079,7
73,146701.676484978,7
74,142700.951246151,8
75,168964.258556016,9
76,174948.765981526,7
77,198996.946388064,7
78,143534.450022981,7
79,146993.635287606,7
80,155115.548000178,10
81,226143.660027775,10
82,131490.125158765,10
83,161431.262460278,10
84,259518.562959925,10
85,138083.693896008,7
86,229176.58755183,7
87,157314.784840592,11
88,194141.752410511,10
89,104675.755746431,10
90,326475.067657394,10
92,174050.052040347,10
93,122862.496577594,10
94,129141.209050968,10
95,102498.125722165,12
96,173426.721092403,14
97,109845.558769021,13
98,196969.497867482,13
99,227510.282258344,13
100,150107.912094809,13
101,156798.045660092,13
102,108811.484830214,13
103,10556.6785112408,13
104,81886.4792110426,14
105,176568.402895084,14
106,114882.774042097,14
107,179656.670747197,14
108,241353.126769891,14
109,134794.453230406,14
110,143919.194970916,14
111,147679.770893977,14
112,209913.763480822,14
113,178621.28774902,13
114,133971.821367678,13
115,118697.531730774,10
116,152847.235293536,10
117,140862.830130027,13
118,117128.172855004,13
119,211253.69044642,13
120,106034.486391919,13
121,36210.918351512,13
122,147140.095333172,14
123,114987.24608709,14
124,175304.169519084,14
125,101516.495144384,17
126,114562.320702965,17
127,117981.728288105,17
128,158626.319383423,17
129,125218.753809126,17
130,106012.746746861,17
131,104356.340585046,13
132,81500.1142070643,13
133,179307.636859195,13
134,196151.829497438,10
135,156775.877000934,10
136,166797.697098491,10
137,192949.416194284,16
138,60081.9510138725,13
139,186946.105321163,13
140,163952.857361016,17
141,113679.032474561,17
142,68947.4298740258,17
143,40173.4057664461,17
144,168336.206901153,17
145,133936.003681867,17
146,246165.546067816,17
147,323329.66831074,17
148,182187.713076311,13
149,173760.081006015,16
150,188244.021517918,15
151,153774.396826181,15
152,161675.091512926,16
153,170193.027117321,16
154,188428.771590814,17
155,165483.118832873,17
156,154946.863054319,17
157,129320.12157574,17
158,179769.3507213,17
159,140691.950040278,15
160,184782.339690526,19
161,186682.924731767,19
162,177595.665968183,19
163,185139.737010917,18
164,62101.6019086403,18
165,155013.859446583,18
166,113230.332643086,19
167,164694.082330498,19
168,263352.692245346,19
169,306361.705480298,19
170,159559.111810144,20
171,217853.451070707,20
172,273427.926708609,19
173,323924.585515684,19
